"REF_DATE","GEO","DGUID","Level of study","Gender","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","College","Women+","25th percentile","Dollars","81","units","0","v88834102","2.1.3.1","16600","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Women+","Median","Dollars","81","units","0","v88834103","2.1.3.2","23400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Women+","75th percentile","Dollars","81","units","0","v88834104","2.1.3.3","29100","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Total - Gender","25th percentile","Dollars","81","units","0","v88834105","2.2.1.1","31200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Total - Gender","Median","Dollars","81","units","0","v88834106","2.2.1.2","39000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Total - Gender","75th percentile","Dollars","81","units","0","v88834107","2.2.1.3","46000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Men+","25th percentile","Dollars","81","units","0","v88834108","2.2.2.1","30000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Men+","Median","Dollars","81","units","0","v88834109","2.2.2.2","39000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Men+","75th percentile","Dollars","81","units","0","v88834110","2.2.2.3","51000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Women+","25th percentile","Dollars","81","units","0","v88834111","2.2.3.1","31200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Women+","Median","Dollars","81","units","0","v88834112","2.2.3.2","38500","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Women+","75th percentile","Dollars","81","units","0","v88834113","2.2.3.3","44000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Total - Gender","25th percentile","Dollars","81","units","0","v88834114","2.3.1.1","40000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Total - Gender","Median","Dollars","81","units","0","v88834115","2.3.1.2","50000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Total - Gender","75th percentile","Dollars","81","units","0","v88834116","2.3.1.3","59000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Men+","25th percentile","Dollars","81","units","0","v88834117","2.3.2.1","44000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Men+","Median","Dollars","81","units","0","v88834118","2.3.2.2","50000","","","","0"
